Future Months,Total Jobs
1,50558
2,55089.9
3,62287.85
4,52729.73
5,37470.8
6,26049.8
7,33854.84
8,35118.29
9,33336.07
10,30005.98
11,44229.92
12,45470.9
13,57198.2
14,53329.84
15,59135.49
16,46280.88
17,35405.5
18,26487.14
19,38203.88
20,36710.87
21,34463.1
22,34896.66
23,43806.69
24,43878.5
25,53168.65
26,54397.92
27,61048.47
28,50194.31
29,36658.81
30,26221.74
31,35564.7
32,35744.42
33,33779.17
34,31928.79
35,44063.52
36,44844.83
37,55613.95
38,53749.76
39,59887.59
40,47819.48
41,35898.25
42,26382.79
43,37166.26
44,36330.9
45,34194.21
46,33729.82
47,43907.66
48,44258.42
49,54130.04
50,54143.09
51,60592.06
52,49260.62
53,36359.79
54,26285.06
55,36194.37
56,35975
57,33942.35
58,32636.88
59,44002.24
60,44614.28
Total,2540689.03
